meaning,translation,character,Lesson number,Frame number,Stroke number,Grade number,JLPT,Constituents,Example sentence 1,Example sentence 2,On-Yomi,Kun-Yomi,Example words
hard,up,窮,35,1424,15,,1,"hard up, hole, house, human legs, somebody, nose, bow",Hole . . . somebody . . . bow.,"Hard up = nothing but your body, living in a hole, with just a bow to hunt for your food.",キュウ、キョウ,きわ.める、きわ.まる、きわ.まり、きわ.み,"窮まる (きわ.まる), 窮める (きわ.める)"""
grope,"""grope",探,35,1425,11,6,3,"grope, finger, fingers, paper punch, Miss World, hole, house, human legs, tree, wood",Fingers . . . paper punch . . . tree.,"A pictograph of a japanese schoolgirl getting groped by perverts on the train. The fingers of course, a crown (her too short skirt) and her legs below (which to be honest are pretty thick like tree trunks).",タン,さぐ.る、さが.す,"探す (さが.す), 探る (さぐ.る)"""
deep,"""deep",深,35,1426,11,3,3,"deep, water, water droplets, water pistol, paper punch, Miss World, hole, house, human legs, tree, wood",Water . . . paper punch . . . tree.,"If the groper´s """"tree"""" goes up the girl´s miniskirt too deep, he´ll ejaculate fluid. (Sorry it´s kinda coarse but it works.).",シン,ふか.い、-ぶか.い、ふか.まる、ふか.める、み-,"深い (ふか.い), 深まる (ふか.まる), 深める (ふか.める)"""
hill,"""hill",丘,35,1427,5,,1,"hill, axe, one, floor","Since this supposedly pictographic representation of a hill looks like anything but, picture a row of axes driven into the ground up to their heads, and see if that doesn't present a more memorable image of hill - at least a riskier one sliding down!",Excalibur is the sword planted in a rock. Lesser known AXCAHILLBUR is the axe planted on top of a hill.,キュウ,おか,"丘 (おか)"""
Point,"""Point",岳,35,1428,8,,1,"point, hill, axe, one, floor, mountain","Think of the key word as referring to proper names of mountains, but do not confuse with mountain pass (Frame 835). The elements are: hill . . . mountain.",A point is a extra little hill at the top of a mountain. We´ll call it ´Fireman´s Point´.,ガク,たけ,"岳 (たけ)"""
soldier,"""soldier",兵,35,1429,7,4,2,"soldier, hill, axe, one, floor, animal legs, eight",Hill . . . animal legs.,"Listen up soldiers! We´re going to take that hill. You are no longer men with human legs. You are voracious animals, with animal legs! Got it? Animal legs! Now take that hill!",ヘイ、ヒョウ,つわもの,"兵器 (へいき), 兵隊 (へいたい), 撤兵 (てっぺい)"""
seacoast,"""seacoast",浜,35,1430,10,,1,"seacoast, water, water droplets, water pistol, soldier, hill, axe, one, floor, animal legs, eight",Water . . . soldier.,"Seacoast -> Coast Guard -> """"water soldiers"""" lined up on the seacoast defending our shores.",ヒン,はま,"浜 (はま)"""
thread,"""thread",糸,36,1431,6,1,2,"thread, spiderman","Remember when your granny used to ask you to bend your arms at the elbows and hold them out so that she could use them like a rack to hold a skein of string or yarn (here thread) while she rolled it up into a little ball? Now can you see the two elbows (with the second stroke doubling up) at the top, and the character for little below?","I also went with Spiderman. However, in the cases where this primitive appears under other primitives, as opposed to on the left (I think there are ~5 times in this chapter) I´ve opted to use a similar character: Venom. This helps keep the positioning clear, especially on such characters as dainty (#1363) and accumulate (#1364).",シ,いと,"糸 (いと)"""
weave,"""weave",織,36,1432,18,5,1,"weave, thread, spiderman, kazoo, sound, vase, stand up, sun, day, fiesta",Thread . . . kazoo.,"Spiderman weaves his way through the skyline while listening to his theme song on his ipod. It is played, of course, by kazoos.",ショク、シキ,お.る、お.り、おり、-おり、-お.り,"織機 (しょっき), 染織 (せんしょく), 紡織 (ぼうしょく), 織る (お.る)"""
darning,"""darning",繕,36,1433,18,,1,"darning, thread, spiderman, virtuous, sheep, horns, mouth",Thread . . . virtuous.,"After a day being virtuouos and keeping the city safe, Spiderman´s outfit is in need of some repair. Luckily, as he can shoot out threads darning is very easy for him to do.",ゼン,つくろ.う,"繕う (つくろ.う)"""
shrink,"""shrink",縮,36,1434,17,6,1,"shrink, thread, spiderman, inn, house, person, hundred, one, ceiling, white, dove",Thread . . . inn.,"After spending the night at an inn, spider man discovered to his dismay that his costume had shrunk in the wash, and no longer fit!",シュク,ちぢ.む、ちぢ.まる、ちぢ.める、ちぢ.れる、ちぢ.らす,"縮まる (ちぢ.まる), 縮む (ちぢ.む), 縮める (ちぢ.める), 縮らす (ちぢ.らす), 縮れる (ちぢ.れる)"""
luxuriant,"""luxuriant",繁,36,1435,16,,1,"luxuriant, cleverness, reclining, lying down, mother, breasts, taskmaster, thread, spiderman",Cleverness . . . thread.,"Important: Luxuriant does NOT mean luxurious, as the other stories indicate. Definition: abundant or lush in growth, as vegetation. When Venom realized he couldn´t beat Spider-Man in a fair fight, he showed his cleverness by spraying venom all over Spider-Man´s luxuriant garden.",ハン,,
vertical,"""vertical",縦,36,1436,16,6,1,"vertical, thread, spiderman, accompany, Nelson, column, going, line, horns, mend",Thread . . . accompany.,"When Spider-man does his amazing vertical wall climbing, a throng of photographers accompanies him to get a good shot of the action.",ジュウ,たて,"縦 (たて)"""
line,"""line",線,36,1438,15,2,2,"line, thread, spiderman, spring, white, dove, water",Thread . . . spring.,This kanji is used for train lines. Spiderman does a hot spring tour of Japan using the train lines. You can see the Spidey costume hanging on the washing line as he enjoys the onsen.,セン,,
tighten,"""tighten",締,36,1440,15,,1,"tighten, thread, spiderman, sovereign, vase, stand up, apron, crown, towel",Thread . . . sovereign.,"The sovereign appears to be ruling, but in reality someone behind him (for instance his wife) has a thread around his throat, and if he dares to make a decision she doesn´t like, she starts pulling the thread and tightens it around his throat.",テイ,し.まる、し.まり、し.める、-し.め、-じ.め,"締まる (し.まる), 締める (し.める)"""
fiber,"""fiber",維,36,1441,14,,1,"fiber, thread, spiderman, turkey",Thread . . . turkey.,"Hey, Spidey! Eat that turkey if you want, but make sure you eat some fibers: you want spidey threads, don´t ya?",イ,,
gauze,"""gauze",羅,36,1442,19,,1,"gauze, eye, cross-eyed, net, fibre, thread, spiderman, turkey",Eye . . . fiber.,"Lots of girls in Japan wear gauze patches over one eye made of course white fibers. They think it is cute, and I must admit, I have come to think so too.",ラ,,
