meaning,translation,character,Lesson number,Frame number,Stroke number,Grade number,JLPT,Constituents,Example sentence 1,Example sentence 2,On-Yomi,Kun-Yomi,Example words
frozen,"""frozen",凍,19,545,10,,2,"frozen, ice, east, tree, wood, sun, day","The whole secret to breaking the ice with the East is to peek behind those mysteriously """"frozen smiles.""""","Eastern Siberia is often frozen by ice. According to wikipedia, Yakutia (in Eastern Siberia) holds the record as the coldest town on Earth. Check it out yourself...it made it stick for me!",トウ,こお.る、こご.える、こご.る、い.てる、し.みる,"凍る (こお.る), 凍える (こご.える)"""
pregnancy,"""pregnancy",妊,19,546,7,,1,"pregnancy, woman, porter, drop, samurai","A woman who is in her pregnancy is a bit like a porter, bearing her new companion wherever she goes.",A pregnant woman is a porter of her child.,ニン、ジン,,
courts,"""courts",廷,19,547,7,,1,"courts, porter, drop, samurai, stretch","Those who rule the courts, the porters of justice and order, are often found to stretch the law to suit their own purposes. Recall the kanji for prolong from frame 419 and keep it distinct.",A porter has run away from his master. His punishment is to be stretched out on the rack. So say the courts in this barbaric time.,テイ,,
dye,"""dye",染,20,548,9,6,1,"dye, water, water droplets, water pistol, nine, baseball, tree, wood","Water . . . nine . . . tree. From those elements you must compose a plot for the key word, dye. Here, as elsewhere, any of the alternate meanings of the primitives may be used, provided they do not require a position other than that of the kanji in question.","To make this dye, I used water and the barks of nine different trees.",セン,そ.める、-ぞ.め、-ぞめ、そ.まる、し.みる、-じ.みる、し.み、-し.める,"染み (し.み), 染みる (し.みる), 染まる (そ.まる), 染める (そ.める)"""
burn,"""burn",燃,20,549,16,5,2,"burn, fire, sort of thing, moon, crescent moon, month, flesh, part of the body, chihuahua, dog, large, drop, oven-fire, barbecue, fire2","Hearth . . . sort of thing. Beware of letting the simple reading off of the primitive elements do your work for you. Unless you make a vivid image of something burning and relate it just as vividly to those primitive meanings, you can count on forgetting this character very quickly.",Any sort of thing can burn in the fire.,ネン,も.える、も.やす、も.す,"燃える (も.える), 燃す (も.す), 燃やす (も.やす)"""
V.I.P.,"""V.I.P.",賓,20,550,15,,1,"V.I.P., house, one, ceiling, few, shellfish, clam, oyster, eye, animal legs, eight",The V.I.P. indicated here is an important guest making a visit. The elements are: house . . . ceiling . . . few . . . shells.,"This house is reserved to V.I.P. only. If you are not one of the few with enough money to call you that way, keep out!",ヒン,,
year-end,"""year-end",歳,20,551,13,,3,"year end, stop, footprint, one, little, small, march",Stop . . . march . . . little. Be sure not to forget that final dot in the element for march.,"Santa had to put his foot down to stop a march of little guys, namely elves. They were protesting the harsh treatment they get every year-end when Santa asks them to step up toy production for the holiday season.",サイ、セイ,とし、とせ、よわい,"歳末 (さいまつ), 歳月 (さいげつ), 二十歳 (はたち)"""
prefecture,"""prefecture",県,20,552,9,3,2,"prefecture, eye, fishhook, small, little","Above, an eye and a fishhook, and below the primitive for little. Although apparently the simplest of these first six kanji, when you begin to work on its plot and story you will soon find out that the number of strokes and visual complexity of a kanji does not make it easier or harder to remember. It is the primitives you have to work that are the critical factor, as in this case where the meaning of the key word is so seemingly distant from the elements. Remember, you can always break larger elements down (eye of a needle into eye and fishhook) if you think it helps.","In Japanese this is KEN, as in Barbie´s boyfriend. He has lovely blue eyes, a girlfriend who is as thin as a straightened out fish hook. But, down where it counts, he has very little to show...",ケン,,
horse,chestnut,栃,20,553,9,,,"horse chestnut, tree, wood, Wimbledon, cliff, ten thousand, one, bound up",A tree . . . cliff . . . ten thousand.,"There are a bunch of HORSE CHESTNUT TREES on top of this CLIFF above the beach. Chestnuts keep rolling off the cliff and falling on people´s heads. So far TEN THOUSAND people have been killed by falling chestnuts, and the Japanese government still ain´t did shit about it.",,とち,"栃 (とち)"""
ground,"""ground",地,21,554,6,2,4,"ground, soil, dirt, ground, scorpion","Soil and a scorpion (an """"earth animal""""). This is, of course, the full character from which the primitive for ground derives.","Picture the ground as an extent of soil where scorpions are buried like land mines. Imagine a sign post saying ´no trespassing, scorpion mines´ if that helps, and how it is dangerous to walk there.",チ、ジ,,"地下 (ちか), 天地 (てんち), 境地 (きょうち)"""
pond,"""pond",池,21,555,6,2,2,"pond, water, water droplets, water pistol, scorpion","Water . . . scorpion. It would be easy to slip into a """"lazy image"""" in cases like this one, picturing, let us say, a scorpion near the water. But if you picture rather a scorpion letting its venom out drop by drop until it has made a whole pond of the stuff, the image is more likely to remain fixed.","Remember the story of the scorpion that begged the turtle for a ride across the pond? Halfway across the water, the scorpion stung the turtle on the neck and they both sank to the bottom.",チ,いけ,"池 (いけ)"""
insect,"""insect",虫,21,556,6,1,2,"insect, in, stick, mouth","Work with the pictograph as you wish.* As a primitive, this insect will refer to the whole insect kingdom; it can be further specified for each kanji that contains it.","I see the bottom of this kanji as an arm, and the top is an insect biting into the arm, sucking some blood.",チュウ、キ,むし,"虫 (むし)"""
lightning,bug,蛍,21,557,11,,1,"lightning-bug, schoolhouse, owl, crown, insect",Schoolhouse . . . insect.,Bugs have to go to school to learn how to become lightning bugs. Only the brightest bugs graduate to become lightning bugs.,ケイ,ほたる,"蛍 (ほたる)"""
snake,"""snake",蛇,21,558,11,,1,"snake, insect, wind chimes, house, spoon, sitting on the ground",Insect . . . house . . . spoon.,"A snake eats insects and he does that outside, while we eat another snake in the house and preferably with a spoon.",ジャ、ダ、イ、ヤ,へび,"蛇の目 (へびのめ), 蛇腹 (じゃばら), 大蛇 (おろち), 蛇 (へび)"""
rainbow,"""rainbow",虹,21,559,9,,1,"rainbow, insect, craft",Insect . . . craft.,"Little is it known that a rainbow is actually created by insects of different colours flying in formation, a craft they have perfected to create the rainbows we see today.",コウ,にじ,"虹 (にじ)"""
butterfly,"""butterfly",蝶,21,560,15,,1,"butterfly, insect, Tarzan, generation, tree, wood",Insect . . . generation . . . tree.,A butterfly is an insect that appears after spending a generation on a tree as a cocoon.,チョウ,,
single,"""single",独,21,561,9,5,1,"single, pack of wild dogs, insect",Think of this key word in connection with bachelorhood. The elements: wild dogs . . . insect.,The bachelor´s apartment looked like it had been attacked by a pack of wild dogs. There were even insects in the kitchen. No wonder he´s single!,ドク、トク,ひと.り,"独り (ひと.り)"""
silkworm,"""silkworm",蚕,21,562,10,6,1,"silkworm, heavens, insect",Heavens . . . insect. Be sure to do something about the position of the two elements.,"There are no insects in heaven - well, that is, except for silkworms. What, do you expect Jesus to import his fancy robes from China?",サン、テン,かいこ、こ,"蚕 (かいこ)"""
wind,"""wind",風,21,563,9,2,4,"wind, gnats, drop, insect","Windy . . . drops of . . . insects. Hint: think of the last two primitives as representing a swarm of gnats, those tiny drops of pesky insects.",They say that when an INSECT flaps its wings even the single DROP of WIND that it creates is sometimes enough to create a hurricane on the other side of the Earth.,フウ、フ,かぜ、かざ-、-かぜ,"風力 (ふうりょく), 風俗 (ふうぞく), 強風 (きょうふう), 風 (かぜ)"""
self,"""self",己,21,564,3,6,1,"self, snake, self","The kanji carries the abstract sense of the self, the deep-down inner structure of the human person that mythology has often depicted as a snake - which is what the kanji shows pictographically. Be sure to keep it distinct from the similar keywords, oneself (frame 36) and I (frame 17).* As a primitive element, this kanji can be used for the snake - of which it is a pictograph - or any of the various concrete symbolic meanings the snake has in myth and fable.","This kanji looks like the """"s"""" of """"self"""", looking at its own reflection in a mirror (reversed sideways), as if pondering about his """"self"""".",コ、キ,おのれ、つちのと、な,"自己 (じこ), 利己 (りこ), 己 (おのれ)"""
rouse,"""rouse",起,21,565,10,3,4,"rouse, run, soil, dirt, ground, mend, snake, self",Run . . . snake.,"Be careful when you´re RUNNING through the jungle, because you might step on and ROUSE a sleeping SNAKE. Then you´ll have to RUN like hell before it bites you!",キ,お.きる、お.こる、お.こす、おこ.す、た.つ,"起きる (お.きる), 起こす (お.こす), 起こる (お.こる)"""
queen,"""queen",妃,21,566,6,,1,"queen, woman, snake, self",Woman . . . snake.,Cleopatra.,ヒ,,
reformation,"""reformation",改,21,567,7,4,2,"reformation, snake, self, taskmaster","Pluralizing the snake and focusing on a single taskmaster may help recommend the image of Ireland's most famous reformer, St. Patrick, who, legend has it, drove away the snakes from the land.","The taskmaster of Slytherin ( wizardry house symbolized by a snake ) plans a reformation of Hogwarts, disallowing the study of magic to all muggle-born. こわいですね！.",カイ,あらた.める、あらた.まる,"改まる (あらた.まる), 改める (あらた.める)"""
